1  Как начать разработку под iOS?	http://events.yandex.ru/events/yamobcamp/msk-mar-2012/talks/2/
144	Локализация приложений для iOS: как не прострелить себе ногу	http://events.yandex.ru/events/yasubbotnik/minsk-jun-2012/talks/104/
145	Вступительное слово на Я.Субботнике в Киеве	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/107/
146	Асессоры Яндекса: откуда взялись, зачем нужны, как работают	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/108/
147	Дизайнер в поиске	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/109/
148	API 2.0: Новые интерфейсы Яндекс.Карт – теперь и на украинском	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/110/
149	Используем git без проблем	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/112/
150	Зачем и как мы используем jsLint	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/113/
151	Современный «станок» верстальщика	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/114/
152	Настоящее и будущее разработки на Украине	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/116/
153	Приложения для соцсетей. Универсальные приложения на БЭМ	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/117/
154	bem server: система сборки фронтенда	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/118/
155	i-bem.js: JavaScript в БЭМ-терминах	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/120/
156	Используем БЭМ для создания сайтов под iOS/Android	http://events.yandex.ru/events/yasubbotnik/kiev-may-2012/talks/121/
157	Дизайнер в поиске	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/166/
158	Офлайн-поиск на основе MapReduce 	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/168/
159	Python в инфраструктуре поиска	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/169/
160	Несколько интересных фактов об экспертной оценке	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/170/
161	Методы автоматического сбора данных	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/172/
162	Подходы к кешированию на UGC-сервисе	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/173/
163	Основные проблемы и грабли при разработке видеохостингов	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/174/
164	Горизонтальное масштабирование MySQL	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/176/
165	Хроники серверного Жаваскрипта 	http://events.yandex.ru/events/yasubbotnik/spb-dec-2011/talks/177/
166	Автоматизация тестирования веб-форм	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/181/
167	SVARX, или Борьба с большими формами	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/182/
168	CSS3 фарш	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/184/
169	Как использовать БЭМ! вне Яндекса	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/151/
170	Веб для незрячих	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/185/
171	Архитектура фронтенда Яндекс.Почты	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/200/
172	Приручая сайты	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/188/
173	Yandex Map Kit для iOS в примерах	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/189/
174	Разработка Яндекс.Карт для Windows Phone 7	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/190/
175	Земля в коробочке: хранят и показывают Яндекс.Карты	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/192/
176	Как мы делаем Панорамы	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/193/
177	Яндекс в Казахстане 	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/196/
178	Качество поиска: экспертные оценки и исследование пользовательского поведения	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/197/
179	Веб-виджеты Яндекса и с чем их едят	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/198/
180	Куда движется верстка и верстальщики Яндекса	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/201/
181	Touch it: новое мобильное направление веб-разработки	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/202/
182	От Ванкувера до Азиады: как мы делаем спортивные проекты	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/204/
183	Зачем и когда мы проводим нагрузочное тестирование	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/205/
184	Лунапарк: теория и практика	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/206/
185	Основные проблемы и грабли в разработке видеохостингов	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/208/
186	Yandex MapKit для Android OS в примерах	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/209/
187	Как мы делаем панорамы улиц	http://events.yandex.ru/events/yasubbotnik/almati-oct-2011/talks/210/
188	Как мы оцениваем качество поиска	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/213/
189	Что такое хорошие сниппеты?	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/214/
190	Как работают хорошие сниппеты	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/215/
191	Про БЭМ, или Как разрабатывать веб-проекты	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/217/
192	Куда идём мы с Пятачком, или О том, куда движется вёрстка и верстальщики Яндекса	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/218/
193	Масштабируемые JavaScript-приложения	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/219/
194	HTML5 в Я.Почте	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/220/
195	Нагрузки в спорте высоких достижений	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/222/
196	Как Python стал делать погоду в Яндексе	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/223/
197	Python в инфраструктуре поиска	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/224/
198	Кластеризация дубликатов в Яндекс.Картинках	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/226/
199	Офлайн-поиск на основе MapReduce	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/227/
200	Роботы и люди в Twitter-е	http://events.yandex.ru/events/yasubbotnik/ekb-jun-2011/talks/228/
201	Операция CSS3	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/231/
202	Скорость рендеринга страниц: исследования, замеры, автоматизация	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/232/
203	SVARX: фреймворк для семантической валидации форм	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/234/
204	Внедрение идей БЭМ на не-Яндекс проект	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/235/
205	Privoxy – арсенал супергероя?!	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/236/
206	Верстка кастомными тегами для API Яндекс.Карт	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/238/
207	HTML5 в Я.Почте (WebSocket, localStorage, Cross-site XHR) 	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/239/
208	Верстка для touch-устройст (webkit) 	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/240/
209	Что такое дизайнерская компания	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/242/
210	Мобильные тренды (на основе приложений iOS)	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/243/
211	CSS3 в руках дизайнера	http://events.yandex.ru/events/yasubbotnik/kiev-may-2011/talks/244/
212	Оценка черной магии	http://events.yandex.ru/events/yasubbotnik/spb-feb-2011/talks/251/
213	Поток вертикальных сервиcов	http://events.yandex.ru/events/yasubbotnik/spb-feb-2011/talks/252/
214	Оценка качества поиска	http://events.yandex.ru/events/yasubbotnik/spb-feb-2011/talks/249/
216	Баннерокрутилка: разбираем на куски	http://events.yandex.ru/events/yasubbotnik/spb-feb-2011/talks/254/
217	Автоматический сбор данных по примерам	http://events.yandex.ru/events/yasubbotnik/spb-feb-2011/talks/255/
218	Вступительное слово на Я.Субботнике в Челябинске	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/150/
219	О чём ещё говорят верстальщики	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/152/
220	Проблемы доставки iOS-приложений на тестовые устройства	http://events.yandex.ru/events/yamobcamp/spb-may-2012/talks/84/
221	Автоматизация в XCode	http://events.yandex.ru/events/yamobcamp/spb-may-2012/talks/85/
222	Яндекс.Почта: архитектура фронтенда как она есть	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/153/
223	Как можно доработать UITableViewController, чтобы облегчить себе жизнь	http://events.yandex.ru/events/yamobcamp/spb-may-2012/talks/86/
224	Масштабируемые JavaScript-приложения	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/154/
225	Homo Universale: куда расти веб-дизайнерам	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/156/
226	Как Big Data делает вашу жизнь лучше	http://events.yandex.ru/events/odessaconf/2012/talks/569/
227	Изменение демографии внутри воронки продаж	http://events.yandex.ru/events/odessaconf/2012/talks/570/
228	Роль мобильных приложений в экосистеме сервиса Evernote	http://events.yandex.ru/events/odessaconf/2012/talks/571/
229	О чем молчат цифры, или немного об отчётности	http://events.yandex.ru/events/odessaconf/2012/talks/572/
231	Эволюция системы управления	http://events.yandex.ru/events/planb/spb-dec-2011/talks/258/
232	Framework для планирования проекта с точки зрения менеджера продукта	http://events.yandex.ru/events/planb/spb-dec-2011/talks/259/
233	Полет на Марс, или как не обидеть слона	http://events.yandex.ru/events/planb/spb-dec-2011/talks/260/
234	Планирование аналитической части проекта	http://events.yandex.ru/events/planb/spb-dec-2011/talks/261/
235	Как создаются интерфейсы в Mail.Ru	http://events.yandex.ru/events/planb/spb-dec-2011/talks/262/
236	Интегральный подход в дизайне	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/157/
237	Спортивные проекты Яндекса. Взгляд изнутри	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/158/
238	Кластеризация дубликатов в Яндекс.Картинках	http://events.yandex.ru/events/yasubbotnik/chlb-feb-2012/talks/159/
239	Что такое социальный интранет	http://events.yandex.ru/events/odessaconf/2012/talks/573/
240	Глобальная платформа электронной коммерции siteheart.com	http://events.yandex.ru/events/odessaconf/2012/talks/574/
241	Архитектура фронтенда Яндекс.Почты	http://events.yandex.ru/events/yasubbotnik/nsk-nov-2011/talks/186/
242	Поиск багов в поиске	http://events.yandex.ru/events/yasubbotnik/spb-feb-2011/talks/248/
243	Изменение процессов планирования в растущей команде тестирования 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/265/
244	Трудности планирования в удаленных и географически распределенных командах	http://events.yandex.ru/events/planb/spb-dec-2011/talks/266/
245	Как сделать команде приятное	http://events.yandex.ru/events/planb/spb-dec-2011/talks/267/
246	Серфинг в неспокойных водах: планирование IT-проектов методом набегающей волны 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/268/
247	Как не потеряться в часовых поясах (планирование и распределенная команда)	http://events.yandex.ru/events/planb/spb-dec-2011/talks/269/
248	Как спланировать дизайнера 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/270/
249	Интерактив «Сто_восемь»	http://events.yandex.ru/events/planb/spb-dec-2011/talks/272/
250	Чего хотят тестировщики? Или как после планирования жить хорошо 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/275/
251	Как я организовал музыкальный фестиваль и при этом не потерял друзей 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/276/
252	Заметки о планировании со стороны разработчиков 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/277/
253	Планирование дизайнеров. Как успеть?	http://events.yandex.ru/events/planb/spb-dec-2011/talks/278/
254	Специфика раннего планирования на проекте 	http://events.yandex.ru/events/planb/spb-dec-2011/talks/279/
255	Распределенный анализ в LHCb	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/286/
256	Поиск новой физики с помощью LHCb	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/285/
257	Система сбора данных на скорости 32 Тбит/с	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/281/
258	Обработка данных событий в LHCb (Large Hadron Collider beauty experiment)	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/282/
259	Инфраструктура MapReduce	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/287/
260	Знакомство с MatrixNet	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/288/
261	Описание совместных проектов СERN и Яндекс 	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/289/
262	Особенности создания репрезентативных опросов в интернете	http://events.yandex.ru/events/odessaconf/2012/talks/575/
263	Введение в эксперимент LHCb	http://events.yandex.ru/events/science-seminars/cern-jul-2012/talks/290/
265	Наши «яблоки Ньютона», или реальные инсайты из жизни Яндекс.Events	http://events.yandex.ru/events/odessaconf/2012/talks/576/
266	Маркетинг мобильных приложений	http://events.yandex.ru/events/odessaconf/2012/talks/577/
267	Коллективный поиск, взаимодействие пользователей: подходы к изучению социальных аспектов информационного поиска	http://events.yandex.ru/events/science-seminars/russir-aug-2012/talks/292/
268	Открываем Яндекс.Танк	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/296/
269	Архитектура Яндекс.Фоток	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/298/
270	Яндекс.Диск: архитектура, синхронизация и многое другое	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/313/
271	Кластеризатор в JS API Яндекс.Карт	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/301/
272	Разные способы создания клиентских js-компонентов	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/302/
273	Прототипирование на живом проекте	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/304/
274	MapKit для WP7 	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/305/
276	Открытие конференции «Горизонты цифрового маркетинга»	http://events.yandex.ru/events/odessaconf/2012/talks/578/
277	«Enterprise Social Technologies»	http://events.yandex.ru/events/odessaconf/2012/talks/579/
278	Дискуссия на секции «Enterprise Social Technologies»	http://events.yandex.ru/events/odessaconf/2012/talks/580/
279	«Мобильные технологии и геосервисы»	http://events.yandex.ru/events/odessaconf/2012/talks/581/
280	Дискуссия на секции «Мобильные технологии и геосервисы»	http://events.yandex.ru/events/odessaconf/2012/talks/582/
281	«Аналитика и роль данных в цифровом маркетинге»	http://events.yandex.ru/events/odessaconf/2012/talks/583/
282	Дискуссия на секции «Аналитика и роль данных в цифровом маркетинге»	http://events.yandex.ru/events/odessaconf/2012/talks/584/
283	Выступление Игоря Ашманова	http://events.yandex.ru/events/odessaconf/2012/talks/585/
284	Проблемы эффективности поисковых систем: как сделать так, чтобы поисковая система давала ответ за одну десятую секунды или быстрее?	http://events.yandex.ru/events/science-seminars/russir-aug-2012/talks/310/
285	Yandex MapKit: идеи по применению	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/311/
286	Школа разработки интерфейсов	http://events.yandex.ru/events/yasubbotnik/msk-jul-2012/talks/314/
287	Политическая поляризация в поисковых логах и Твиттере	http://events.yandex.ru/events/science-seminars/russir-16aug-2012/talks/317/
288	Настоящее и будущее БЭМ	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/320/
289	Новые возможности bem-tools для автоматической сборки проекта	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/321/
290	БЭМ и JavaScript: Зачем мы написали JS-фреймворк?	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/323/
291	БЭМ и JavaScript: Сборник рецептов	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/324/
292	БЭМ и JavaScript: Тестирование	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/326/
293	Миксы во вселенной БЭМ	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/327/
294	Про шаблонизаторы вообще и BEMHTML в частности	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/329/
295	Внедрение БЭМ в существующие системы	http://events.yandex.ru/events/yasubbotnik/msk-sep-2012/talks/330/
